hero,volatility_sigma,classification
widowmaker,8.02,Map-Dependent
lucio,4.85,Map-Dependent
junkerqueen,4.29,Map-Dependent
winston,3.76,Map-Dependent
sigma,3.73,Map-Dependent
reinhardt,3.65,Map-Dependent
anran,3.27,Map-Dependent
zarya,3.24,Map-Dependent
domina,3.2,Map-Dependent
roadhog,3.2,Map-Dependent
dmon,3.17,Map-Dependent
jetpackcat,3.12,Map-Dependent
junkrat,3.12,Map-Dependent
wreckingball,3.1,Map-Dependent
symmetra,3.05,Map-Dependent
moira,2.87,Flexible
soldier76,2.8,Flexible
mauga,2.79,Flexible
pharah,2.75,Flexible
ramattra,2.73,Flexible
hazard,2.69,Flexible
ana,2.66,Flexible
torbjorn,2.66,Flexible
freja,2.63,Flexible
mizuki,2.5,Flexible
vendetta,2.47,Flexible
venture,2.42,Flexible
brigitte,2.39,Flexible
mei,2.36,Flexible
orisa,2.29,Flexible
bastion,2.29,Flexible
reaper,2.29,Flexible
hanzo,2.29,Flexible
echo,2.28,Flexible
sombra,2.17,Flexible
mercy,2.13,Flexible
lifeweaver,2.1,Flexible
dva,1.97,Flexible
sierra,1.96,Flexible
tracer,1.95,Flexible
juno,1.88,Flexible
kiriko,1.88,Flexible
doomfist,1.85,Flexible
baptiste,1.83,Flexible
ashe,1.75,Map-Agnostic
zenyatta,1.73,Map-Agnostic
cassidy,1.69,Map-Agnostic
sojourn,1.68,Map-Agnostic
shion,1.64,Map-Agnostic
emre,1.63,Map-Agnostic
illari,1.53,Map-Agnostic
genji,1.52,Map-Agnostic
wuyang,1.42,Map-Agnostic
