map,tier,hero,delta_wr,delta_pr,presence,archetype,rank_comparison,sample_size
aatlis,D,ana,-4.28,-16.33,Niche (-16.3%),Deterrent,Better in Masters,44
aatlis,S,anran,3.95,2.63,Popular (+2.6%),Meta,Even Across Ranks,44
aatlis,D,ashe,-4.13,-8.05,Niche (-8.0%),Deterrent,Better in Masters,32
aatlis,B,baptiste,-0.87,-1.8,Niche (-1.8%),Neutral,Even Across Ranks,43
aatlis,C,bastion,-1.57,-1.44,Niche (-1.4%),Deterrent,Even Across Ranks,42
aatlis,A,brigitte,2.26,2.49,Popular (+2.5%),Meta,Even Across Ranks,44
aatlis,A,cassidy,1.45,8.57,Map Priority (+8.6%),Favorable,Even Across Ranks,44
aatlis,A,dmon,2.91,2.26,Popular (+2.3%),Meta,Even Across Ranks,8
aatlis,C,domina,-1.97,-1.23,Niche (-1.2%),Deterrent,Even Across Ranks,41
aatlis,A,doomfist,1.4,1.68,Popular (+1.7%),Favorable,Even Across Ranks,44
aatlis,D,dva,-3.37,-1.53,Niche (-1.5%),Deterrent,Even Across Ranks,44
aatlis,D,echo,-3.53,-3.05,Niche (-3.1%),Deterrent,Even Across Ranks,43
aatlis,B,emre,1.16,-4.62,Niche (-4.6%),Neutral,Better in GM+,44
aatlis,C,freja,-2.08,-2.88,Niche (-2.9%),Deterrent,Better in GM+,38
aatlis,B,genji,0.26,0.97,Standard (+1.0%),Neutral,Even Across Ranks,44
aatlis,D,hanzo,-3.96,-3.11,Niche (-3.1%),Deterrent,Even Across Ranks,43
aatlis,B,hazard,-0.12,2.63,Popular (+2.6%),Neutral,Even Across Ranks,43
aatlis,B,illari,-0.79,-5.13,Niche (-5.1%),Neutral,Even Across Ranks,43
aatlis,B,jetpackcat,1.14,-0.56,Standard (-0.6%),Neutral,Even Across Ranks,44
aatlis,S,junkerqueen,4.57,2.51,Popular (+2.5%),Meta,Even Across Ranks,43
aatlis,A,junkrat,2.69,0.66,Standard (+0.7%),Favorable,Even Across Ranks,42
aatlis,B,juno,-0.64,0.44,Standard (+0.4%),Neutral,Even Across Ranks,44
aatlis,B,kiriko,-0.1,9.47,Map Priority (+9.5%),Neutral,Even Across Ranks,43
aatlis,A,lifeweaver,1.42,-2.09,Niche (-2.1%),Favorable,Better in GM+,43
aatlis,A,lucio,2.9,8.91,Map Priority (+8.9%),Meta,Better in Masters,44
aatlis,S,mauga,3.38,2.37,Popular (+2.4%),Meta,Even Across Ranks,44
aatlis,B,mei,-0.77,0.43,Standard (+0.4%),Neutral,Even Across Ranks,44
aatlis,C,mercy,-1.58,-3.74,Niche (-3.7%),Deterrent,Even Across Ranks,41
aatlis,A,mizuki,1.29,5.79,Map Priority (+5.8%),Favorable,Even Across Ranks,44
aatlis,A,moira,1.82,6.45,Map Priority (+6.4%),Meta,Even Across Ranks,44
aatlis,C,orisa,-2.86,0.93,Standard (+0.9%),Unfavorable,Even Across Ranks,43
aatlis,D,pharah,-4.2,-0.97,Standard (-1.0%),Deterrent,Better in GM+,43
aatlis,B,ramattra,0.63,1.39,Popular (+1.4%),Neutral,Even Across Ranks,44
aatlis,B,reaper,0.54,5.82,Map Priority (+5.8%),Neutral,Better in Masters,44
aatlis,A,reinhardt,2.43,0.91,Standard (+0.9%),Favorable,Even Across Ranks,42
aatlis,A,roadhog,1.48,-0.1,Standard (-0.1%),Favorable,Even Across Ranks,43
aatlis,B,shion,0.57,7.77,Map Priority (+7.8%),Neutral,Even Across Ranks,20
aatlis,C,sierra,-1.59,-1.29,Niche (-1.3%),Deterrent,Even Across Ranks,23
aatlis,D,sigma,-5.03,-5.55,Niche (-5.5%),Deterrent,Even Across Ranks,44
aatlis,B,sojourn,-0.37,0.42,Standard (+0.4%),Neutral,Even Across Ranks,44
aatlis,B,soldier76,-0.1,-2.72,Niche (-2.7%),Neutral,Even Across Ranks,43
aatlis,C,sombra,-1.67,-0.28,Standard (-0.3%),Deterrent,Better in Masters,42
aatlis,B,symmetra,0.2,0.38,Standard (+0.4%),Neutral,Even Across Ranks,43
aatlis,B,torbjorn,0.28,-0.13,Standard (-0.1%),Neutral,Better in Masters,42
aatlis,B,tracer,-0.15,6.63,Map Priority (+6.6%),Neutral,Even Across Ranks,44
aatlis,A,vendetta,2.84,1.57,Popular (+1.6%),Meta,Even Across Ranks,44
aatlis,B,venture,0.51,1.87,Popular (+1.9%),Neutral,Even Across Ranks,44
aatlis,D,widowmaker,-28.36,-6.73,Niche (-6.7%),Deterrent,Even Across Ranks,5
aatlis,D,winston,-5.42,-5.97,Niche (-6.0%),Deterrent,Better in Masters,43
aatlis,B,wreckingball,0.82,-0.24,Standard (-0.2%),Neutral,Even Across Ranks,43
aatlis,C,wuyang,-1.97,1.06,Popular (+1.1%),Trap Pick,Even Across Ranks,44
aatlis,A,zarya,2.59,2.33,Popular (+2.3%),Meta,Better in GM+,44
aatlis,B,zenyatta,-0.64,-4.57,Niche (-4.6%),Neutral,Even Across Ranks,43
antarctic-peninsula,C,ana,-1.62,-8.28,Niche (-8.3%),Deterrent,Even Across Ranks,32
antarctic-peninsula,B,anran,0.24,0.67,Standard (+0.7%),Neutral,Even Across Ranks,31
antarctic-peninsula,B,ashe,-0.39,-5.26,Niche (-5.3%),Neutral,Even Across Ranks,32
antarctic-peninsula,B,baptiste,0.68,-0.83,Standard (-0.8%),Neutral,Even Across Ranks,32
antarctic-peninsula,A,bastion,1.45,-0.75,Standard (-0.7%),Favorable,Even Across Ranks,31
antarctic-peninsula,A,brigitte,1.26,1.03,Popular (+1.0%),Favorable,Even Across Ranks,32
antarctic-peninsula,S,cassidy,3.82,9.04,Map Priority (+9.0%),Meta,Even Across Ranks,32
antarctic-peninsula,A,dmon,1.28,2.29,Popular (+2.3%),Favorable,Even Across Ranks,8
antarctic-peninsula,A,domina,2.14,-0.69,Standard (-0.7%),Specialist,Even Across Ranks,31
antarctic-peninsula,B,doomfist,-0.74,0.05,Standard (+0.0%),Neutral,Even Across Ranks,32
antarctic-peninsula,C,dva,-2.13,-1.12,Niche (-1.1%),Deterrent,Even Across Ranks,32
antarctic-peninsula,C,echo,-1.57,-1.86,Niche (-1.9%),Deterrent,Even Across Ranks,32
antarctic-peninsula,B,emre,-0.29,-2.16,Niche (-2.2%),Neutral,Even Across Ranks,32
antarctic-peninsula,B,freja,-1.13,-1.53,Niche (-1.5%),Neutral,Better in Masters,32
antarctic-peninsula,C,genji,-1.7,-0.77,Standard (-0.8%),Deterrent,Even Across Ranks,32
antarctic-peninsula,B,hanzo,-0.59,-2.48,Niche (-2.5%),Neutral,Better in GM+,32
antarctic-peninsula,C,hazard,-2.21,0.73,Standard (+0.7%),Unfavorable,Even Across Ranks,32
antarctic-peninsula,A,illari,1.27,-2.27,Niche (-2.3%),Favorable,Even Across Ranks,32
antarctic-peninsula,C,jetpackcat,-1.43,-0.44,Standard (-0.4%),Unfavorable,Even Across Ranks,32
antarctic-peninsula,A,junkerqueen,2.95,1.04,Popular (+1.0%),Favorable,Better in GM+,32
antarctic-peninsula,C,junkrat,-1.89,-0.19,Standard (-0.2%),Deterrent,Better in Masters,32
antarctic-peninsula,B,juno,-0.24,0.8,Standard (+0.8%),Neutral,Even Across Ranks,32
antarctic-peninsula,A,kiriko,1.28,5.49,Map Priority (+5.5%),Favorable,Even Across Ranks,32
antarctic-peninsula,B,lifeweaver,0.87,-1.4,Niche (-1.4%),Neutral,Even Across Ranks,32
antarctic-peninsula,B,lucio,-0.56,3.44,Map Priority (+3.4%),Neutral,Even Across Ranks,32
antarctic-peninsula,A,mauga,2.12,1.5,Popular (+1.5%),Favorable,Even Across Ranks,32
antarctic-peninsula,B,mei,0.22,0.27,Standard (+0.3%),Neutral,Better in Masters,32
antarctic-peninsula,B,mercy,-1.04,-1.63,Niche (-1.6%),Neutral,Even Across Ranks,31
antarctic-peninsula,B,mizuki,0.36,2.81,Popular (+2.8%),Neutral,Even Across Ranks,32
antarctic-peninsula,A,moira,1.67,2.4,Popular (+2.4%),Meta,Even Across Ranks,32
antarctic-peninsula,B,orisa,0.23,1.21,Popular (+1.2%),Neutral,Even Across Ranks,32
antarctic-peninsula,D,pharah,-4.89,-0.73,Standard (-0.7%),Deterrent,Even Across Ranks,32
antarctic-peninsula,A,ramattra,2.24,1.05,Popular (+1.0%),Favorable,Even Across Ranks,32
antarctic-peninsula,B,reaper,0.51,2.27,Popular (+2.3%),Neutral,Even Across Ranks,32
antarctic-peninsula,A,reinhardt,1.68,0.83,Standard (+0.8%),Favorable,Even Across Ranks,32
antarctic-peninsula,S,roadhog,3.58,0.33,Standard (+0.3%),Favorable,Even Across Ranks,32
antarctic-peninsula,B,shion,-1.06,6.52,Map Priority (+6.5%),Neutral,Even Across Ranks,20
antarctic-peninsula,B,sierra,-0.81,-0.24,Standard (-0.2%),Neutral,Even Across Ranks,25
antarctic-peninsula,C,sigma,-1.24,-2.39,Niche (-2.4%),Unfavorable,Even Across Ranks,32
antarctic-peninsula,B,sojourn,-0.15,0.43,Standard (+0.4%),Neutral,Even Across Ranks,32
antarctic-peninsula,B,soldier76,0.9,-0.74,Standard (-0.7%),Neutral,Even Across Ranks,32
antarctic-peninsula,A,sombra,1.49,-0.18,Standard (-0.2%),Favorable,Better in GM+,31
antarctic-peninsula,A,symmetra,2.24,0.57,Standard (+0.6%),Favorable,Even Across Ranks,32
antarctic-peninsula,A,torbjorn,2.96,-0.08,Standard (-0.1%),Specialist,Even Across Ranks,32
antarctic-peninsula,A,tracer,1.38,4.28,Map Priority (+4.3%),Favorable,Even Across Ranks,32
antarctic-peninsula,B,vendetta,0.89,0.35,Standard (+0.4%),Neutral,Even Across Ranks,29
antarctic-peninsula,C,venture,-1.48,0.23,Standard (+0.2%),Unfavorable,Even Across Ranks,31
antarctic-peninsula,D,widowmaker,-9.18,-5.12,Niche (-5.1%),Deterrent,Better in Masters,27
antarctic-peninsula,C,winston,-2.79,-4.47,Niche (-4.5%),Deterrent,Even Across Ranks,32
antarctic-peninsula,C,wreckingball,-1.33,-0.22,Standard (-0.2%),Unfavorable,Better in Masters,32
antarctic-peninsula,B,wuyang,0.61,1.17,Popular (+1.2%),Neutral,Even Across Ranks,32
antarctic-peninsula,A,zarya,2.01,1.52,Popular (+1.5%),Meta,Even Across Ranks,32
antarctic-peninsula,B,zenyatta,0.1,-2.32,Niche (-2.3%),Neutral,Even Across Ranks,32
blizzard-world,B,ana,-0.13,7.1,Map Priority (+7.1%),Neutral,Even Across Ranks,44
blizzard-world,A,anran,2.12,-0.69,Standard (-0.7%),Specialist,Better in GM+,43
blizzard-world,C,ashe,-1.26,2.77,Popular (+2.8%),Unfavorable,Even Across Ranks,44
blizzard-world,C,baptiste,-2.57,-0.37,Standard (-0.4%),Deterrent,Even Across Ranks,44
blizzard-world,C,bastion,-1.44,-0.17,Standard (-0.2%),Unfavorable,Even Across Ranks,43
blizzard-world,D,brigitte,-5.84,-0.54,Standard (-0.5%),Deterrent,Better in Masters,44
blizzard-world,C,cassidy,-2.12,-5.21,Niche (-5.2%),Deterrent,Even Across Ranks,44
blizzard-world,D,dmon,-3.36,-0.68,Standard (-0.7%),Deterrent,Better in Masters,8
blizzard-world,D,domina,-3.14,0.59,Standard (+0.6%),Unfavorable,Even Across Ranks,44
blizzard-world,C,doomfist,-2.25,-0.13,Standard (-0.1%),Deterrent,Even Across Ranks,44
blizzard-world,A,dva,1.47,0.74,Standard (+0.7%),Favorable,Even Across Ranks,44
blizzard-world,C,echo,-1.4,-2.05,Niche (-2.1%),Unfavorable,Even Across Ranks,44
blizzard-world,B,emre,-0.27,1.88,Popular (+1.9%),Neutral,Better in Masters,44
blizzard-world,B,freja,-1.14,0.64,Standard (+0.6%),Neutral,Better in GM+,43
blizzard-world,B,genji,-1.05,-0.8,Standard (-0.8%),Neutral,Better in Masters,44
blizzard-world,C,hanzo,-1.65,1.35,Popular (+1.4%),Trap Pick,Better in GM+,44
blizzard-world,D,hazard,-3.64,-1.94,Niche (-1.9%),Deterrent,Better in GM+,43
blizzard-world,B,illari,0.58,1.68,Popular (+1.7%),Neutral,Even Across Ranks,44
blizzard-world,B,jetpackcat,0.42,-0.53,Standard (-0.5%),Neutral,Even Across Ranks,44
blizzard-world,D,junkerqueen,-5.73,-1.01,Niche (-1.0%),Deterrent,Better in Masters,36
blizzard-world,D,junkrat,-4.36,-0.85,Standard (-0.9%),Deterrent,Even Across Ranks,44
blizzard-world,B,juno,0.1,-1.31,Niche (-1.3%),Neutral,Better in GM+,44
blizzard-world,C,kiriko,-1.68,-2.51,Niche (-2.5%),Deterrent,Better in Masters,44
blizzard-world,B,lifeweaver,-0.57,0.69,Standard (+0.7%),Neutral,Better in GM+,44
blizzard-world,D,lucio,-8.01,-3.12,Niche (-3.1%),Deterrent,Better in Masters,43
blizzard-world,D,mauga,-5.41,-1.19,Niche (-1.2%),Deterrent,Better in Masters,43
blizzard-world,B,mei,-0.67,-0.24,Standard (-0.2%),Neutral,Better in Masters,43
blizzard-world,B,mercy,0.96,1.25,Popular (+1.2%),Neutral,Better in GM+,43
blizzard-world,D,mizuki,-5.13,-2.13,Niche (-2.1%),Deterrent,Better in Masters,44
blizzard-world,D,moira,-6.05,-2.08,Niche (-2.1%),Deterrent,Even Across Ranks,44
blizzard-world,B,orisa,-0.38,-0.4,Standard (-0.4%),Neutral,Even Across Ranks,44
blizzard-world,C,pharah,-2.86,-1.78,Niche (-1.8%),Deterrent,Better in GM+,44
blizzard-world,D,ramattra,-5.28,-0.81,Standard (-0.8%),Deterrent,Better in Masters,42
blizzard-world,C,reaper,-1.63,-2.16,Niche (-2.2%),Deterrent,Even Across Ranks,44
blizzard-world,D,reinhardt,-4.72,-0.97,Standard (-1.0%),Deterrent,Better in GM+,44
blizzard-world,D,roadhog,-3.38,-0.73,Standard (-0.7%),Deterrent,Even Across Ranks,43
blizzard-world,C,shion,-1.58,-2.68,Niche (-2.7%),Deterrent,Even Across Ranks,20
blizzard-world,C,sierra,-2.72,0.47,Standard (+0.5%),Unfavorable,Better in GM+,30
blizzard-world,B,sigma,-1.16,2.69,Popular (+2.7%),Neutral,Even Across Ranks,44
blizzard-world,B,sojourn,0.61,1.52,Popular (+1.5%),Neutral,Even Across Ranks,44
blizzard-world,C,soldier76,-2.74,0.2,Standard (+0.2%),Unfavorable,Even Across Ranks,44
blizzard-world,B,sombra,-0.85,0.45,Standard (+0.4%),Neutral,Better in Masters,43
blizzard-world,C,symmetra,-2.14,-0.28,Standard (-0.3%),Deterrent,Even Across Ranks,44
blizzard-world,D,torbjorn,-4.9,0.42,Standard (+0.4%),Unfavorable,Better in Masters,42
blizzard-world,C,tracer,-2.16,0.79,Standard (+0.8%),Unfavorable,Even Across Ranks,44
blizzard-world,D,vendetta,-3.78,-0.53,Standard (-0.5%),Deterrent,Even Across Ranks,36
blizzard-world,A,venture,2.39,-0.32,Standard (-0.3%),Specialist,Even Across Ranks,42
blizzard-world,B,widowmaker,-0.57,5.41,Map Priority (+5.4%),Neutral,Even Across Ranks,44
blizzard-world,B,winston,0.33,3.11,Map Priority (+3.1%),Neutral,Even Across Ranks,44
blizzard-world,A,wreckingball,1.29,1.32,Popular (+1.3%),Favorable,Better in GM+,44
blizzard-world,B,wuyang,0.17,0.09,Standard (+0.1%),Neutral,Even Across Ranks,44
blizzard-world,C,zarya,-2.01,-1.1,Niche (-1.1%),Deterrent,Better in Masters,43
blizzard-world,B,zenyatta,-0.77,1.56,Popular (+1.6%),Neutral,Even Across Ranks,43
busan,B,ana,-0.31,-3.79,Niche (-3.8%),Neutral,Even Across Ranks,8
busan,A,anran,2.03,0.26,Standard (+0.3%),Favorable,Even Across Ranks,7
busan,C,ashe,-1.25,-2.86,Niche (-2.9%),Unfavorable,Even Across Ranks,8
busan,C,baptiste,-1.98,-1.28,Niche (-1.3%),Deterrent,Even Across Ranks,8
busan,B,bastion,-0.09,-0.97,Standard (-1.0%),Neutral,Even Across Ranks,8
busan,C,brigitte,-2.31,0.95,Standard (+1.0%),Unfavorable,Better in GM+,8
busan,A,cassidy,2.35,2.89,Popular (+2.9%),Meta,Even Across Ranks,8
busan,B,dmon,-0.13,1.76,Popular (+1.8%),Neutral,Even Across Ranks,8
busan,B,domina,0.77,-0.66,Standard (-0.7%),Neutral,Even Across Ranks,8
busan,C,doomfist,-2.96,0.17,Standard (+0.2%),Unfavorable,Better in Masters,8
busan,A,dva,2.26,0.39,Standard (+0.4%),Favorable,Even Across Ranks,8
busan,A,echo,1.35,-3.1,Niche (-3.1%),Favorable,Better in Masters,8
busan,A,emre,2.81,-0.27,Standard (-0.3%),Specialist,Better in GM+,8
busan,S,freja,3.6,-1.52,Niche (-1.5%),Specialist,Even Across Ranks,8
busan,D,genji,-3.37,-0.87,Standard (-0.9%),Deterrent,Even Across Ranks,8
busan,B,hanzo,-0.35,-2.68,Niche (-2.7%),Neutral,Better in GM+,8
busan,C,hazard,-1.35,-0.19,Standard (-0.2%),Unfavorable,Better in GM+,8
busan,B,illari,0.88,-2.34,Niche (-2.3%),Neutral,Better in Masters,8
busan,B,jetpackcat,-0.4,0.51,Standard (+0.5%),Neutral,Better in Masters,8
busan,A,junkerqueen,2.68,0.58,Standard (+0.6%),Favorable,Better in GM+,8
busan,D,junkrat,-10.64,-0.89,Standard (-0.9%),Deterrent,Better in Masters,8
busan,B,juno,0.68,-0.6,Standard (-0.6%),Neutral,Even Across Ranks,8
busan,B,kiriko,0.21,4.47,Map Priority (+4.5%),Neutral,Even Across Ranks,8
busan,A,lifeweaver,1.88,-0.71,Standard (-0.7%),Specialist,Better in Masters,8
busan,B,lucio,-0.56,1.89,Popular (+1.9%),Neutral,Even Across Ranks,8
busan,S,mauga,3.35,0.83,Standard (+0.8%),Favorable,Even Across Ranks,8
busan,B,mei,0.21,-0.68,Standard (-0.7%),Neutral,Even Across Ranks,8
busan,D,mercy,-4.47,-1.36,Niche (-1.4%),Deterrent,Better in GM+,6
busan,A,mizuki,1.24,1.81,Popular (+1.8%),Favorable,Better in GM+,8
busan,A,moira,2.26,1.99,Popular (+2.0%),Meta,Even Across Ranks,8
busan,B,orisa,-0.34,0.38,Standard (+0.4%),Neutral,Even Across Ranks,8
busan,C,pharah,-1.83,-2.88,Niche (-2.9%),Deterrent,Even Across Ranks,8
busan,D,ramattra,-3.4,-0.68,Standard (-0.7%),Deterrent,Better in Masters,8
busan,B,reaper,0.68,0.6,Standard (+0.6%),Neutral,Even Across Ranks,8
busan,A,reinhardt,1.31,0.37,Standard (+0.4%),Favorable,Better in Masters,8
busan,B,roadhog,-0.09,-0.43,Standard (-0.4%),Neutral,Even Across Ranks,8
busan,B,shion,0.43,4.68,Map Priority (+4.7%),Neutral,Better in GM+,8
busan,D,sierra,-6.42,-0.07,Standard (-0.1%),Deterrent,Even Across Ranks,4
busan,B,sigma,-0.52,-3.24,Niche (-3.2%),Neutral,Even Across Ranks,8
busan,B,sojourn,-0.07,-0.99,Standard (-1.0%),Neutral,Even Across Ranks,8
busan,S,soldier76,3.79,3.06,Map Priority (+3.1%),Meta,Better in GM+,8
busan,B,sombra,-0.68,0.29,Standard (+0.3%),Neutral,Better in Masters,8
busan,B,symmetra,-0.82,0.48,Standard (+0.5%),Neutral,Better in Masters,8
busan,D,torbjorn,-4.7,-0.31,Standard (-0.3%),Deterrent,Better in Masters,8
busan,B,tracer,0.19,6.59,Map Priority (+6.6%),Neutral,Even Across Ranks,8
busan,C,vendetta,-2.2,0.15,Standard (+0.2%),Unfavorable,Better in GM+,8
busan,A,venture,2.97,-0.08,Standard (-0.1%),Specialist,Even Across Ranks,8
busan,B,widowmaker,-0.42,-0.62,Standard (-0.6%),Neutral,Even Across Ranks,8
busan,A,winston,1.98,-0.77,Standard (-0.8%),Specialist,Even Across Ranks,8
busan,B,wreckingball,-1.14,1.94,Popular (+1.9%),Neutral,Better in GM+,8
busan,B,wuyang,-0.4,-0.18,Standard (-0.2%),Neutral,Even Across Ranks,8
busan,B,zarya,-0.4,-0.57,Standard (-0.6%),Neutral,Even Across Ranks,8
busan,B,zenyatta,1.14,-1.52,Niche (-1.5%),Neutral,Better in GM+,8
circuit-royal,B,ana,-0.09,8.0,Map Priority (+8.0%),Neutral,Even Across Ranks,44
circuit-royal,D,anran,-3.32,-2.07,Niche (-2.1%),Deterrent,Even Across Ranks,34
circuit-royal,B,ashe,-0.32,7.58,Map Priority (+7.6%),Neutral,Even Across Ranks,44
circuit-royal,A,baptiste,1.91,8.19,Map Priority (+8.2%),Meta,Better in Masters,44
circuit-royal,S,bastion,4.91,3.11,Map Priority (+3.1%),Meta,Even Across Ranks,44
